Loading raw signal from data/raw/Ninapro_DB1/s1/S1_A1_E2.mat...
Preprocessing signal (Filtering & Standardizing)...
Extracting 200ms sliding windows...
Extracting dense windows (size=20, stride=1)...
Extracting FFT Frequencies...
Extracting FFT magnitudes...
Loading Trained Models (Dictionary, Scaler, SVM)...
Extracting Sparse Dictionary Codes...
Classifying movements...

[EVALUATION RESULTS]
Overall Accuracy:       75.82%
Active Blocks Accuracy: 51.99%

=====================================================================================
 sEMG TRUE vs PREDICTED TIMELINE LOG
=====================================================================================
[000.00s - 004.13s] ✅ TRUE: Rest                         | PRED: Rest
[041.12s - 046.50s] ✅ TRUE: Rest                         | PRED: Rest
[046.80s - 048.32s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[048.44s - 049.03s] ❌ TRUE: Thumb up                     | PRED: Fingers flexed together in fist
[049.19s - 050.05s] ❌ TRUE: Thumb up                     | PRED: Rest
[050.05s - 053.97s] ✅ TRUE: Rest                         | PRED: Rest
[054.14s - 054.40s] ❌ TRUE: Thumb up                     | PRED: Fingers flexed together in fist
[054.40s - 055.90s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[055.96s - 056.29s] ❌ TRUE: Thumb up                     | PRED: Wrist extension with closed hand
[056.35s - 056.99s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[056.99s - 057.40s] ❌ TRUE: Thumb up                     | PRED: Lateral grasp
[057.40s - 057.79s] ❌ TRUE: Thumb up                     | PRED: Rest
[057.85s - 058.16s] ❌ TRUE: Thumb up                     | PRED: Little finger extension
[058.58s - 062.50s] ✅ TRUE: Rest                         | PRED: Rest
[062.59s - 063.06s] ❌ TRUE: Thumb up                     | PRED: Pointing index
[063.22s - 063.95s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[063.95s - 064.59s] ❌ TRUE: Thumb up                     | PRED: Thumb adduction
[064.59s - 064.91s] ❌ TRUE: Thumb up                     | PRED: Lateral grasp
[065.04s - 065.98s] ❌ TRUE: Thumb up                     | PRED: Thumb flexion
[066.17s - 072.20s] ✅ TRUE: Rest                         | PRED: Rest
[072.20s - 072.43s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: little finger)
[072.61s - 072.97s] ❌ TRUE: Thumb up                     | PRED: Index finger extension grasp
[073.06s - 074.41s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[074.41s - 075.29s] ❌ TRUE: Thumb up                     | PRED: Rest
[075.29s - 079.42s] ✅ TRUE: Rest                         | PRED: Rest
[079.42s - 079.62s] ❌ TRUE: Thumb up                     | PRED: Rest
[079.62s - 080.09s] ❌ TRUE: Thumb up                     | PRED: Fingers flexed together in fist
[080.09s - 080.29s] ❌ TRUE: Thumb up                     | PRED: Ring flexion
[080.29s - 081.76s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[082.12s - 082.57s] ❌ TRUE: Thumb up                     | PRED: Pointing index
[082.85s - 087.87s] ✅ TRUE: Rest                         | PRED: Rest
[088.06s - 089.17s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[089.18s - 090.71s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[090.71s - 091.08s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[091.12s - 095.55s] ✅ TRUE: Rest                         | PRED: Rest
[096.15s - 096.98s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[096.98s - 097.49s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Flexion of ring and little finger, extension of others
[097.49s - 098.42s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[098.45s - 098.72s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[098.82s - 099.08s] ❌ TRUE: Rest                         | PRED: Ring flexion
[099.08s - 099.93s] ✅ TRUE: Rest                         | PRED: Rest
[099.93s - 100.37s] ❌ TRUE: Rest                         | PRED: Middle flexion
[100.37s - 102.91s] ✅ TRUE: Rest                         | PRED: Rest
[102.91s - 103.23s] ❌ TRUE: Rest                         | PRED: Pointing index
[103.23s - 103.54s] ❌ TRUE: Rest                         | PRED: Little finger flexion
[103.54s - 103.82s] ❌ TRUE: Rest                         | PRED: Little finger extension
[103.84s - 104.55s] ✅ TRUE: Rest                         | PRED: Rest
[104.55s - 104.85s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[104.85s - 105.19s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[105.37s - 106.79s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[106.88s - 107.45s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[107.45s - 107.80s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Pointing index
[107.87s - 112.93s] ✅ TRUE: Rest                         | PRED: Rest
[112.94s - 113.34s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[113.43s - 113.67s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[113.67s - 113.96s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Little finger flexion
[113.96s - 114.27s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[114.27s - 114.69s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Flexion of ring and little finger, extension of others
[114.69s - 115.57s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[115.72s - 116.06s] ❌ TRUE: Rest                         | PRED: Pointing index
[116.06s - 121.34s] ✅ TRUE: Rest                         | PRED: Rest
[121.34s - 121.56s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[121.56s - 121.77s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Fingers flexed together in fist
[121.77s - 122.27s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[122.27s - 122.63s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Flexion of ring and little finger, extension of others
[122.63s - 123.39s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[123.40s - 124.62s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[124.75s - 129.38s] ✅ TRUE: Rest                         | PRED: Rest
[129.65s - 131.63s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[131.63s - 131.85s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Flexion of ring and little finger, extension of others
[131.85s - 132.35s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[132.35s - 132.87s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Pointing index
[133.13s - 138.32s] ✅ TRUE: Rest                         | PRED: Rest
[138.38s - 140.98s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[140.98s - 141.40s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Pointing index
[141.40s - 141.93s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Rest
[141.93s - 146.26s] ✅ TRUE: Rest                         | PRED: Rest
[146.28s - 146.72s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Fingers flexed together in fist
[146.72s - 147.23s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[147.28s - 149.55s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[149.55s - 150.07s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Pointing index
[150.24s - 155.86s] ✅ TRUE: Rest                         | PRED: Rest
[155.90s - 156.31s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[156.31s - 156.59s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Flexion of ring and little finger, extension of others
[156.59s - 158.34s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[158.34s - 158.60s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Pointing index
[158.71s - 163.40s] ✅ TRUE: Rest                         | PRED: Rest
[163.40s - 163.63s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[163.64s - 163.93s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[163.93s - 164.28s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Quadpod grasp
[164.28s - 166.28s] ✅ TRUE: Extension of index and middle, flexion of others | PRED: Extension of index and middle, flexion of others
[166.68s - 166.89s] ❌ TRUE: Extension of index and middle, flexion of others | PRED: Thumb extension
[166.99s - 171.22s] ✅ TRUE: Rest                         | PRED: Rest
[171.22s - 171.45s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[171.45s - 171.73s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[171.73s - 172.00s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Abduction of all fingers
[172.00s - 172.42s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[172.42s - 172.66s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Abduction of all fingers
[172.81s - 173.04s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[173.15s - 173.95s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[173.95s - 174.71s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[174.71s - 174.93s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Index flexion
[174.93s - 175.13s] ❌ TRUE: Rest                         | PRED: Index flexion
[175.13s - 179.58s] ✅ TRUE: Rest                         | PRED: Rest
[179.58s - 179.81s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[179.81s - 180.02s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Fingers flexed together in fist
[180.23s - 180.60s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[180.60s - 181.67s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[181.67s - 182.95s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[183.20s - 188.17s] ✅ TRUE: Rest                         | PRED: Rest
[188.17s - 188.40s] ❌ TRUE: Rest                         | PRED: Pointing index
[188.56s - 189.92s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[190.02s - 190.94s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[190.94s - 191.21s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[191.21s - 196.73s] ✅ TRUE: Rest                         | PRED: Rest
[197.06s - 198.08s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[198.08s - 199.31s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[199.43s - 199.68s] ❌ TRUE: Rest                         | PRED: Pointing index
[199.68s - 205.06s] ✅ TRUE: Rest                         | PRED: Rest
[205.39s - 205.95s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[206.08s - 207.09s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[207.29s - 207.49s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[207.49s - 207.73s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[208.22s - 213.42s] ✅ TRUE: Rest                         | PRED: Rest
[213.42s - 213.63s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[213.63s - 213.88s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[213.88s - 215.16s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[215.16s - 215.71s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[215.99s - 216.35s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[216.64s - 221.73s] ✅ TRUE: Rest                         | PRED: Rest
[221.76s - 222.07s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[222.07s - 224.74s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[224.74s - 225.38s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Rest
[225.38s - 230.30s] ✅ TRUE: Rest                         | PRED: Rest
[230.42s - 230.82s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[230.82s - 231.25s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Extension of index and middle, flexion of others
[231.25s - 233.29s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[233.42s - 238.69s] ✅ TRUE: Rest                         | PRED: Rest
[238.79s - 240.43s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[240.43s - 240.95s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Thumb opposing base of little finger
[241.05s - 241.48s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[241.62s - 242.54s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Little finger flexion
[242.64s - 243.19s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Little finger flexion
[243.19s - 243.39s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Tip pinch grasp
[243.42s - 243.64s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Parallel extension grasp
[243.70s - 244.36s] ✅ TRUE: Rest                         | PRED: Rest
[244.36s - 244.77s] ❌ TRUE: Rest                         | PRED: Pointing index
[244.77s - 247.10s] ✅ TRUE: Rest                         | PRED: Rest
[247.40s - 249.64s] ✅ TRUE: Flexion of ring and little finger, extension of others | PRED: Flexion of ring and little finger, extension of others
[249.74s - 249.98s] ❌ TRUE: Flexion of ring and little finger, extension of others | PRED: Thumb up
[250.23s - 250.67s] ❌ TRUE: Rest                         | PRED: Pointing index
[250.67s - 255.90s] ✅ TRUE: Rest                         | PRED: Rest
[255.90s - 256.10s] ❌ TRUE: Rest                         | PRED: Pointing index
[256.55s - 257.09s] ❌ TRUE: Thumb opposing base of little finger | PRED: Flexion of ring and little finger, extension of others
[257.09s - 257.30s] ❌ TRUE: Thumb opposing base of little finger | PRED: Turn a screw
[257.38s - 257.61s] ❌ TRUE: Thumb opposing base of little finger | PRED: Turn a screw
[257.65s - 257.99s] ❌ TRUE: Thumb opposing base of little finger | PRED: Middle extension
[257.99s - 258.82s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[258.82s - 259.08s] ❌ TRUE: Thumb opposing base of little finger | PRED: Middle flexion
[259.12s - 264.10s] ✅ TRUE: Rest                         | PRED: Rest
[264.10s - 264.31s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[264.36s - 264.83s] ❌ TRUE: Thumb opposing base of little finger | PRED: Adduction of extended fingers
[264.83s - 265.40s] ❌ TRUE: Thumb opposing base of little finger | PRED: Index flexion
[265.54s - 265.94s] ✅ TRUE: Thumb opposing base of little finger | PRED: Thumb opposing base of little finger
[266.11s - 266.46s] ❌ TRUE: Thumb opposing base of little finger | PRED: Index flexion
[266.46s - 266.67s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[266.67s - 267.16s] ❌ TRUE: Thumb opposing base of little finger | PRED: Tip pinch grasp
[267.17s - 267.46s] ❌ TRUE: Thumb opposing base of little finger | PRED: Middle flexion
[267.58s - 273.15s] ✅ TRUE: Rest                         | PRED: Rest
[273.42s - 274.42s] ❌ TRUE: Thumb opposing base of little finger | PRED: Index flexion
[274.58s - 274.98s] ❌ TRUE: Thumb opposing base of little finger | PRED: Flexion of ring and little finger, extension of others
[274.98s - 275.42s] ❌ TRUE: Thumb opposing base of little finger | PRED: Wrist extension with closed hand
[275.43s - 276.16s] ❌ TRUE: Thumb opposing base of little finger | PRED: Rest
[276.16s - 281.27s] ✅ TRUE: Rest                         | PRED: Rest
[281.27s - 281.67s] ❌ TRUE: Thumb opposing base of little finger | PRED: Rest
[281.67s - 281.93s] ❌ TRUE: Thumb opposing base of little finger | PRED: Index flexion
[281.93s - 282.23s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring extension
[282.23s - 282.65s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[282.65s - 282.90s] ❌ TRUE: Thumb opposing base of little finger | PRED: Middle extension
[283.01s - 283.24s] ✅ TRUE: Thumb opposing base of little finger | PRED: Thumb opposing base of little finger
[283.41s - 283.98s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[283.98s - 284.19s] ❌ TRUE: Thumb opposing base of little finger | PRED: Middle flexion
[284.33s - 289.85s] ✅ TRUE: Rest                         | PRED: Rest
[289.89s - 290.51s] ❌ TRUE: Thumb opposing base of little finger | PRED: Wrist pronation (axis: little finger)
[290.51s - 291.02s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[291.19s - 292.03s] ❌ TRUE: Thumb opposing base of little finger | PRED: Tip pinch grasp
[292.54s - 293.08s] ❌ TRUE: Thumb opposing base of little finger | PRED: Rest
[293.08s - 297.56s] ✅ TRUE: Rest                         | PRED: Rest
[297.86s - 298.09s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[298.12s - 298.44s] ❌ TRUE: Thumb opposing base of little finger | PRED: Adduction of extended fingers
[298.44s - 298.87s] ❌ TRUE: Thumb opposing base of little finger | PRED: Flexion of ring and little finger, extension of others
[299.00s - 299.48s] ❌ TRUE: Thumb opposing base of little finger | PRED: Little finger extension
[299.48s - 299.97s] ❌ TRUE: Thumb opposing base of little finger | PRED: Rest
[299.97s - 300.38s] ❌ TRUE: Thumb opposing base of little finger | PRED: Index flexion
[300.45s - 300.79s] ❌ TRUE: Thumb opposing base of little finger | PRED: Pointing index
[300.79s - 301.62s] ❌ TRUE: Thumb opposing base of little finger | PRED: Rest
[301.62s - 301.93s] ❌ TRUE: Thumb opposing base of little finger | PRED: Thumb flexion
[301.93s - 302.31s] ❌ TRUE: Thumb opposing base of little finger | PRED: Thumb extension
[302.44s - 306.04s] ✅ TRUE: Rest                         | PRED: Rest
[306.04s - 306.35s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[307.11s - 308.19s] ✅ TRUE: Thumb opposing base of little finger | PRED: Thumb opposing base of little finger
[308.19s - 308.74s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[308.88s - 309.10s] ❌ TRUE: Rest                         | PRED: Tip pinch grasp
[309.10s - 314.41s] ✅ TRUE: Rest                         | PRED: Rest
[314.58s - 314.98s] ❌ TRUE: Thumb opposing base of little finger | PRED: Extension of index and middle, flexion of others
[315.19s - 315.82s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[315.89s - 316.22s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[316.41s - 316.77s] ❌ TRUE: Thumb opposing base of little finger | PRED: Rest
[316.77s - 317.07s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[317.07s - 317.31s] ❌ TRUE: Thumb opposing base of little finger | PRED: Middle flexion
[317.41s - 317.74s] ❌ TRUE: Thumb opposing base of little finger | PRED: Rest
[317.74s - 323.41s] ✅ TRUE: Rest                         | PRED: Rest
[323.41s - 323.61s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[323.61s - 324.28s] ❌ TRUE: Thumb opposing base of little finger | PRED: Extension of index and middle, flexion of others
[324.28s - 325.45s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[325.47s - 331.11s] ✅ TRUE: Rest                         | PRED: Rest
[331.11s - 331.32s] ❌ TRUE: Rest                         | PRED: Pointing index
[331.51s - 331.90s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[331.90s - 332.20s] ❌ TRUE: Thumb opposing base of little finger | PRED: Abduction of all fingers
[332.20s - 332.64s] ❌ TRUE: Thumb opposing base of little finger | PRED: Tip pinch grasp
[332.69s - 333.35s] ❌ TRUE: Thumb opposing base of little finger | PRED: Ring flexion
[333.48s - 339.60s] ✅ TRUE: Rest                         | PRED: Rest
[339.64s - 340.17s] ❌ TRUE: Abduction of all fingers     | PRED: Pointing index
[340.22s - 340.78s] ❌ TRUE: Abduction of all fingers     | PRED: Ring flexion
[340.78s - 341.28s] ❌ TRUE: Abduction of all fingers     | PRED: Extension of index and middle, flexion of others
[341.28s - 342.34s] ❌ TRUE: Abduction of all fingers     | PRED: Ring flexion
[342.56s - 348.43s] ✅ TRUE: Rest                         | PRED: Rest
[348.71s - 349.23s] ❌ TRUE: Abduction of all fingers     | PRED: Thumb opposing base of little finger
[349.23s - 350.47s] ❌ TRUE: Abduction of all fingers     | PRED: Ring flexion
[350.47s - 351.00s] ❌ TRUE: Abduction of all fingers     | PRED: Extension of index and middle, flexion of others
[351.04s - 351.26s] ❌ TRUE: Abduction of all fingers     | PRED: Index flexion
[351.26s - 351.76s] ❌ TRUE: Abduction of all fingers     | PRED: Rest
[352.03s - 356.54s] ✅ TRUE: Rest                         | PRED: Rest
[356.89s - 357.21s] ❌ TRUE: Abduction of all fingers     | PRED: Extension of index and middle, flexion of others
[357.21s - 357.52s] ❌ TRUE: Abduction of all fingers     | PRED: Thumb opposing base of little finger
[357.64s - 358.60s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[358.60s - 358.98s] ❌ TRUE: Abduction of all fingers     | PRED: Prismatic pinch grasp
[359.08s - 359.50s] ❌ TRUE: Abduction of all fingers     | PRED: Prismatic pinch grasp
[359.84s - 364.96s] ✅ TRUE: Rest                         | PRED: Rest
[365.61s - 365.81s] ❌ TRUE: Abduction of all fingers     | PRED: Ring extension
[365.91s - 366.19s] ❌ TRUE: Abduction of all fingers     | PRED: Flexion of ring and little finger, extension of others
[366.19s - 366.74s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[366.85s - 367.18s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[367.19s - 367.74s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[367.74s - 367.99s] ❌ TRUE: Abduction of all fingers     | PRED: Tip pinch grasp
[368.07s - 368.44s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[368.44s - 373.35s] ✅ TRUE: Rest                         | PRED: Rest
[373.94s - 374.23s] ❌ TRUE: Abduction of all fingers     | PRED: Adduction of extended fingers
[374.23s - 375.27s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[375.40s - 375.69s] ❌ TRUE: Abduction of all fingers     | PRED: Ring flexion
[375.69s - 376.07s] ❌ TRUE: Abduction of all fingers     | PRED: Extension of index and middle, flexion of others
[376.07s - 376.44s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[376.44s - 381.67s] ✅ TRUE: Rest                         | PRED: Rest
[381.67s - 381.88s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[382.21s - 382.60s] ❌ TRUE: Abduction of all fingers     | PRED: Flexion of ring and little finger, extension of others
[382.60s - 382.97s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[382.97s - 383.70s] ❌ TRUE: Abduction of all fingers     | PRED: Middle extension
[383.76s - 384.06s] ❌ TRUE: Abduction of all fingers     | PRED: Middle extension
[384.06s - 384.57s] ❌ TRUE: Rest                         | PRED: Middle extension
[384.57s - 390.49s] ✅ TRUE: Rest                         | PRED: Rest
[390.99s - 391.72s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[391.72s - 391.95s] ❌ TRUE: Abduction of all fingers     | PRED: Middle extension
[392.00s - 392.27s] ❌ TRUE: Abduction of all fingers     | PRED: Ring flexion
[392.27s - 392.67s] ❌ TRUE: Abduction of all fingers     | PRED: Adduction of extended fingers
[392.67s - 392.94s] ❌ TRUE: Abduction of all fingers     | PRED: Thumb abduction
[392.95s - 398.85s] ✅ TRUE: Rest                         | PRED: Rest
[399.04s - 400.63s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[400.81s - 401.20s] ❌ TRUE: Abduction of all fingers     | PRED: Extension of index and middle, flexion of others
[401.20s - 401.52s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[401.52s - 408.31s] ✅ TRUE: Rest                         | PRED: Rest
